,Advantage,Epoch return,KL,entropy,episode length,max return,mean return,mean value,min return,policy loss,seed,std return,value loss
1107,11.423228596896092,-16.453123651453566,0.00083160400390625,0.25496014952659607,1000.0,0.0,-62.88429939095607,-48.07026672363281,-24.303311537998084,10.719653645341147,0.0,1.4034736280424254,411.6741638183594
1108,11.651729832006474,-21.969548906432646,-0.0001983642578125,0.2592774033546448,1000.0,2.1477788448450568,-62.847432612721676,-48.528018951416016,-49.66077507159482,10.825610932929209,0.0,1.377522843236054,484.4486999511719
1109,11.7558093645934,-27.372561806590603,-0.0011138916015625,0.2560103237628937,1000.0,0.0,-62.8154962868249,-49.251609802246094,-47.43626576214416,11.066597038511002,0.0,1.1388676602920227,381.25933837890625
1110,11.300779893972072,-28.748750704346644,-3.0517578125e-05,0.25301119685173035,1000.0,0.0,-62.784855213266276,-47.881561279296875,-49.560605779367535,10.491287449406583,0.0,1.1209056393689012,319.94500732421875
1111,11.03336953815789,-30.52212667093219,0.000885009765625,0.25529882311820984,1000.0,0.0,-62.755862826006805,-47.686038970947266,-76.58059903899598,10.185546538868355,0.0,1.2241162047108922,696.8507690429688
1112,11.63113691208795,-32.78380065451479,0.0007171630859375,0.24914802610874176,1000.0,0.0,-62.7289530916097,-49.488365173339844,-45.210218190754034,10.835459222365348,0.0,0.965850232257543,537.8408203125
1113,11.113291281730136,-42.64333165018949,-0.000762939453125,0.2537845969200134,1000.0,0.0,-62.710935849556044,-49.398807525634766,-69.73958860947988,10.33127382409542,0.0,0.7691025266866179,481.50738525390625
1114,11.08211677863853,-49.419238490100206,-0.000518798828125,0.25135260820388794,1000.0,0.0,-62.699023591660854,-49.26369857788086,-88.05902534812854,10.513979087954215,0.0,0.7938747515187943,392.1959533691406
1115,11.334785508514418,-39.00912284330994,-0.0005645751953125,0.2512391209602356,1000.0,0.0,-62.677811287982195,-49.668643951416016,-59.238065485757396,10.574614772492636,0.0,0.8707897411149335,907.7623291015625
1116,11.436493992216734,-41.92883736184533,8.392333984375e-05,0.24973280727863312,1000.0,0.0,-62.659248956683086,-49.62767028808594,-77.01386102400929,10.688021117650546,0.0,0.8919251726447395,450.4173889160156
