,KL,Q estimate,Training return,entropy,episode length,max return,mean return,mean value,min return,policy loss,seed,std return,value loss
81,0.9828566312789917,48.84466552734375,-582.5007644040314,2.354098081588745,1000.0,0.0,-637.6183928512665,-328.6044006347656,-735.1209704359974,-25005.0,0.0,104.99146285835361,46424.1875
82,1.1895722150802612,-36.77320861816406,-634.5471671585253,2.3554747104644775,1000.0,0.0,-636.9374296872704,-308.75726318359375,-640.9293552827285,53252.88671875,0.0,104.91886094238926,40830.2890625
83,1.0246479511260986,-22.772172927856445,-534.7887865300956,2.3484387397766113,1000.0,0.0,-636.1745724934627,-309.8459167480469,-654.3424688487216,145441.515625,0.0,104.71735637652013,36511.05078125
84,1.2048097848892212,64.70230865478516,-508.4916353521695,2.351701259613037,1000.0,0.0,-636.3417538513061,-312.51959228515625,-860.9743273717418,-154031.4375,0.0,105.00150182767685,50952.9453125
85,0.7076215147972107,-100.04330444335938,-745.383524525954,2.3479628562927246,1000.0,0.0,-636.3946106555118,-299.7903747558594,-787.2405188058416,-112535.625,0.0,105.09431521721089,50293.17578125
86,0.6305528283119202,-43.27960205078125,-656.715532094237,2.3513119220733643,1000.0,0.0,-636.8803506025542,-301.8944396972656,-863.3127384199173,-280880.46875,0.0,105.09085186616595,56891.78125
87,1.0171016454696655,58.316978454589844,-492.2107016373843,2.3466813564300537,1000.0,0.0,-636.9501554454969,-312.2167053222656,-799.2678529541405,27493.83203125,0.0,105.0507407085014,46803.71875
88,1.1320236921310425,-142.43299865722656,-875.9385020253185,2.3458008766174316,1000.0,0.0,-638.0393107459496,-304.3160400390625,-875.9385020253185,-515185.09375,0.0,105.93693017257515,70361.15625
89,1.0812325477600098,48.08314895629883,-643.0635206866745,2.344912052154541,1000.0,0.0,-637.4391522756753,-304.7038269042969,-702.6051146493835,81858.8046875,0.0,105.92418091180463,41262.296875
90,0.75544273853302,26.32423973083496,-573.9202826353048,2.3468124866485596,1000.0,0.0,-637.7517738428847,-292.83746337890625,-753.9229612279729,-277436.25,0.0,105.67457666102466,49673.4296875
91,0.9522976279258728,-74.24264526367188,-810.7188471968916,2.3414957523345947,1000.0,0.0,-638.1419216806868,-295.98626708984375,-810.7188471968916,-221137.796875,0.0,106.09964485938767,54236.66796875
92,0.6875733733177185,1.9049909114837646,-504.627530765865,2.3388872146606445,1000.0,0.0,-636.9267164085862,-290.0146179199219,-638.8585506237703,284204.21875,0.0,106.34260247211654,33049.42578125
93,0.3831830620765686,-165.842529296875,-924.431201630723,2.341946601867676,1000.0,0.0,-637.8204851482684,-294.53228759765625,-924.431201630723,-343665.1875,0.0,106.8561916742929,59788.2421875
94,0.3277638256549835,59.642879486083984,-489.149361759765,2.3347370624542236,1000.0,0.0,-636.8121697993204,-290.81988525390625,-756.701879684491,92399.4921875,0.0,107.38474845466868,37783.96875
95,0.12263071537017822,-1.549350380897522,-576.5177368361834,2.336303234100342,1000.0,0.0,-636.7660159976134,-301.14239501953125,-807.115107042523,-46936.7578125,0.0,107.29100372242763,47442.05078125
96,0.10375124216079712,-176.31776428222656,-876.1772211621903,2.339219570159912,1000.0,0.0,-636.5848961166394,-292.61395263671875,-876.1772211621903,-257968.25,0.0,107.75739849453765,47173.0546875
97,0.14939960837364197,-23.12693214416504,-688.6230153788297,2.341306686401367,1000.0,0.0,-636.8668206837328,-297.28643798828125,-710.5425100352566,-230129.40625,0.0,107.33626631218856,45355.8359375
98,-0.2825509309768677,-68.5413818359375,-625.7134258471064,2.3418519496917725,1000.0,0.0,-636.3120890652169,-282.1241760253906,-700.873437451542,9335.125,0.0,107.32674802633026,41668.875
99,-0.29445913434028625,6.156173229217529,-635.7167909499933,2.3390052318573,1000.0,0.0,-635.8061969702069,-285.353271484375,-635.7167909499933,23510.669921875,0.0,107.01645607106802,36040.3125
