,Advantage,Epoch return,KL,entropy,episode length,max return,mean return,mean value,min return,policy grad norm,policy loss,seed,std return,value grad norm,value loss
1294,-0.8667877035197824,200.0,9.72747802734375e-05,0.2334068864583969,200.0,200.0,99.3907898121945,106.43313598632812,200.0,0.0999998196204906,-0.69269515979974,0.0,2.7957792021947654,0.09999999817211538,3602.3466796875
1295,0.01034721707153956,200.0,1.71661376953125e-05,0.23601758480072021,200.0,200.0,99.46838046272494,103.99542236328125,200.0,0.09999976162392286,-0.24393668842614272,0.0,2.7925450794662177,0.10000000757075961,3660.30908203125
1296,-0.9140771852394933,200.0,-2.002716064453125e-05,0.23931406438350677,200.0,200.0,99.54585152838428,102.60851287841797,200.0,0.09999991605704651,-0.617019056288173,0.0,2.789317187254659,0.10000000318762671,3024.473876953125
1297,-1.1951682843888791,200.0,-2.09808349609375e-05,0.23963244259357452,200.0,200.0,99.62320328542094,104.22349548339844,200.0,0.09999983004453304,-0.8091701942746738,0.0,2.7860955087687573,0.10000000329989334,3213.629150390625
1298,-0.40607584761868426,200.0,-5.435943603515625e-05,0.24284927546977997,200.0,200.0,99.70043600923313,104.35171508789062,200.0,0.09999992077551817,-0.35359578878760717,0.0,2.7828800272753167,0.09999998531525664,3404.344482421875
1299,-0.17052078805505816,200.0,2.6226043701171875e-05,0.23553401231765747,200.0,200.0,99.77754997437212,102.50570678710938,200.0,0.09999990163571147,-0.3570602940401362,0.0,2.779670726099033,0.0999999955738233,3292.42578125
1300,0.15267833044064347,200.0,2.193450927734375e-05,0.23782023787498474,200.0,200.0,99.85454545454546,97.5208969116211,200.0,0.09999983391044402,-0.04242007749340665,0.0,2.77646758862225,0.10000000793564288,3234.39453125
1301,0.60935752325404,200.0,-1.621246337890625e-05,0.23416712880134583,200.0,200.0,99.93142272262027,95.24633026123047,200.0,0.09999990260478263,0.07425197007113604,0.0,2.7732705982847135,0.10000000360789292,3092.62158203125
1302,-0.24127670162508555,200.0,5.340576171875e-05,0.23780573904514313,200.0,200.0,100.00818205062644,100.94049835205078,200.0,0.09999975658049069,-0.3073857682766861,0.0,2.7700797385833327,0.0999999837484326,3181.0283203125
1303,0.05524289025768901,200.0,8.106231689453125e-06,0.23459985852241516,200.0,200.0,100.08482370975983,97.46040344238281,200.0,0.09999962421757123,-0.2635771850289556,0.0,2.7668949930719364,0.10000000075966099,3122.698974609375
1304,0.522435503356277,200.0,6.008148193359375e-05,0.2408713549375534,200.0,200.0,100.16134797038549,96.20159149169922,200.0,0.09999983980846126,0.10861328715800227,0.0,2.7637163453610336,0.10000000736937953,3163.02685546875
1305,-0.7795906102581679,200.0,-8.487701416015625e-05,0.23713229596614838,200.0,200.0,100.23775510204082,103.00751495361328,200.0,0.09999921462400278,-0.5427170643689785,0.0,2.760543779117577,0.09999999893420984,3156.125
1306,-0.09163373352313763,200.0,-1.239776611328125e-05,0.23605969548225403,200.0,200.0,100.31404537343869,100.37625122070312,200.0,0.09999936595508904,-0.2522657399646392,0.0,2.757377278064722,0.09999999228948195,3349.689208984375
1307,-0.19486104260974205,200.0,-1.9073486328125e-05,0.23707307875156403,200.0,200.0,100.39021905247071,99.16780853271484,200.0,0.09999980978119936,-0.2920026306898515,0.0,2.754216825981595,0.100000001566118,3360.09619140625
1308,-0.24954942634062632,200.0,-5.7220458984375e-06,0.23361730575561523,200.0,200.0,100.46627640621023,104.44844055175781,200.0,0.0999999489297574,-0.38320755398765705,0.0,2.751062406703055,0.10000000607567701,3566.64697265625
