,Epsilon,Q,Training return,network loss
131,0.02,0.0,-21.0,0.0
132,0.02,0.0,-19.0,0.0
133,0.02,0.0,-21.0,0.0
134,0.02,0.0,-20.0,0.0
135,0.02,0.0,-18.0,0.0
136,0.02,0.0,-21.0,0.0
137,0.02,0.0,-21.0,0.0
138,0.02,0.0,-21.0,0.0
139,0.02,0.0,-20.0,0.0
140,0.02,0.0,-20.0,0.0
141,0.02,0.0,-20.0,0.0
142,0.02,0.0,-21.0,0.0
143,0.02,0.0,-21.0,0.0
144,0.02,0.0,-20.0,0.0
145,0.02,0.0,-20.0,0.0
146,0.02,0.0,-21.0,0.0
147,0.02,0.0,-21.0,0.0
148,0.02,0.0,-20.0,0.0
149,0.02,0.0,-20.0,0.0
150,0.02,0.0,-20.0,0.0
151,0.02,0.0,-20.0,0.0
152,0.02,0.0,-20.0,0.0
153,0.02,0.0,-21.0,0.0
154,0.02,0.0,-21.0,0.0
155,0.02,0.0,-21.0,0.0
156,0.02,0.0,-21.0,0.0
157,0.02,0.0,-20.0,0.0
158,0.02,0.0,-21.0,0.0
159,0.02,0.0,-21.0,0.0
160,0.02,0.0,-20.0,0.0
161,0.02,0.0,-21.0,0.0
162,0.02,0.0,-20.0,0.0
163,0.02,0.0,-21.0,0.0
164,0.02,0.0,-19.0,0.0
165,0.02,0.0,-21.0,0.0
166,0.02,0.0,-21.0,0.0
167,0.02,0.0,-21.0,0.0
168,0.02,0.0,-21.0,0.0
169,0.02,0.0,-21.0,0.0
170,0.02,0.0,-21.0,0.0
171,0.02,0.0,-20.0,0.0
172,0.02,0.0,-21.0,0.0
173,0.02,0.0,-20.0,0.0
174,0.02,0.0,-20.0,0.0
175,0.02,0.0,-21.0,0.0
176,0.02,0.0,-21.0,0.0
177,0.02,0.0,-20.0,0.0
178,0.02,0.0,-21.0,0.0
179,0.02,0.0,-21.0,0.0
180,0.02,0.0,-21.0,0.0
181,0.02,0.0,-19.0,0.0
182,0.02,0.0,-21.0,0.0
183,0.02,0.0,-21.0,0.0
184,0.02,0.0,-19.0,0.0
185,0.02,0.0,-20.0,0.0
186,0.02,0.0,-19.0,0.0
187,0.02,0.0,-21.0,0.0
188,0.02,0.0,-21.0,0.0
189,0.02,0.0,-21.0,0.0
190,0.02,0.0,-19.0,0.0
191,0.02,0.0,-20.0,0.0
192,0.02,0.0,-21.0,0.0
193,0.02,0.0,-20.0,0.0
194,0.02,0.0,-20.0,0.0
195,0.02,0.0,-21.0,0.0
196,0.02,0.0,-21.0,0.0
197,0.02,0.0,-21.0,0.0
198,0.02,0.0,-21.0,0.0
199,0.02,0.0,-21.0,0.0
200,0.02,0.0,-19.0,0.0
201,0.02,0.0,-21.0,0.0
202,0.02,0.0,-20.0,0.0
203,0.02,0.0,-21.0,0.0
204,0.02,0.0,-20.0,0.0
205,0.02,0.0,-20.0,0.0
206,0.02,0.0,-20.0,0.0
207,0.02,0.0,-20.0,0.0
208,0.02,0.0,-21.0,0.0
209,0.02,0.0,-18.0,0.0
210,0.02,0.0,-21.0,0.0
211,0.02,0.0,-20.0,0.0
212,0.02,0.0,-20.0,0.0
213,0.02,0.0,-21.0,0.0
214,0.02,0.0,-19.0,0.0
215,0.02,0.0,-20.0,0.0
216,0.02,0.0,-20.0,0.0
217,0.02,0.0,-20.0,0.0
218,0.02,0.0,-21.0,0.0
219,0.02,0.0,-21.0,0.0
220,0.02,0.0,-21.0,0.0
221,0.02,0.0,-21.0,0.0
222,0.02,0.0,-20.0,0.0
223,0.02,0.0,-21.0,0.0
224,0.02,0.0,-21.0,0.0
225,0.02,0.0,-21.0,0.0
226,0.02,0.0,-20.0,0.0
227,0.02,0.0,-20.0,0.0
228,0.02,0.0,-21.0,0.0
229,0.02,0.0,-19.0,0.0
230,0.02,0.0,-21.0,0.0
231,0.02,0.0,-20.0,0.0
232,0.02,0.0,-21.0,0.0
233,0.02,0.0,-21.0,0.0
234,0.02,0.0,-21.0,0.0
235,0.02,0.0,-20.0,0.0
236,0.02,0.0,-21.0,0.0
237,0.02,0.0,-21.0,0.0
238,0.02,0.0,-20.0,0.0
239,0.02,0.0,-20.0,0.0
240,0.02,0.0,-21.0,0.0
241,0.02,0.0,-20.0,0.0
242,0.02,0.0,-20.0,0.0
243,0.02,0.0,-19.0,0.0
244,0.02,0.0,-21.0,0.0
245,0.02,0.0,-21.0,0.0
246,0.02,0.0,-21.0,0.0
247,0.02,0.0,-21.0,0.0
248,0.02,0.0,-21.0,0.0
249,0.02,0.0,-19.0,0.0
250,0.02,0.0,-21.0,0.0
251,0.02,0.0,-21.0,0.0
252,0.02,0.0,-21.0,0.0
253,0.02,0.0,-21.0,0.0
254,0.02,0.0,-19.0,0.0
255,0.02,0.0,-20.0,0.0
256,0.02,0.0,-21.0,0.0
257,0.02,0.0,-21.0,0.0
258,0.02,0.0,-20.0,0.0
259,0.02,0.0,-19.0,0.0
260,0.02,0.0,-21.0,0.0
261,0.02,0.0,-21.0,0.0
262,0.02,0.0,-20.0,0.0
263,0.02,0.0,-21.0,0.0
264,0.02,0.0,-21.0,0.0
265,0.02,0.0,-21.0,0.0
266,0.02,0.0,-20.0,0.0
267,0.02,0.0,-21.0,0.0
268,0.02,0.0,-20.0,0.0
269,0.02,0.0,-21.0,0.0
270,0.02,0.0,-21.0,0.0
271,0.02,0.0,-19.0,0.0
272,0.02,0.0,-20.0,0.0
273,0.02,0.0,-20.0,0.0
274,0.02,0.0,-20.0,0.0
275,0.02,0.0,-20.0,0.0
276,0.02,0.0,-20.0,0.0
277,0.02,0.0,-21.0,0.0
278,0.02,0.0,-20.0,0.0
279,0.02,0.0,-21.0,0.0
280,0.02,0.0,-21.0,0.0
281,0.02,0.0,-21.0,0.0
282,0.02,0.0,-20.0,0.0
283,0.02,0.0,-21.0,0.0
284,0.02,0.0,-21.0,0.0
285,0.02,0.0,-21.0,0.0
286,0.02,0.0,-19.0,0.0
287,0.02,0.0,-21.0,0.0
