,Epsilon,Q,Training return,network loss
0,0.99732,0.0,-21.0,0.0
1,0.9946,0.0,-21.0,0.0
2,0.99192,0.0,-21.0,0.0
3,0.98933,0.0,-21.0,0.0
4,0.9867900000000001,0.0,-21.0,0.0
5,0.98401,0.0,-21.0,0.0
6,0.98046,0.0,-21.0,0.0
7,0.97793,0.0,-21.0,0.0
8,0.97466,0.0,-20.0,0.0
9,0.97214,0.0,-21.0,0.0
10,0.96964,0.0,-21.0,0.0
11,0.96654,0.0,-20.0,0.0
12,0.96385,0.0,-21.0,0.0
13,0.96129,0.0,-21.0,0.0
14,0.95858,0.0,-21.0,0.0
15,0.95564,0.0,-21.0,0.0
16,0.95306,0.0,-21.0,0.0
17,0.95053,0.0,-21.0,0.0
18,0.94804,0.0,-21.0,0.0
19,0.9455,0.0,-21.0,0.0
20,0.94296,0.0,-21.0,0.0
21,0.93986,0.0,-21.0,0.0
22,0.9369,0.0,-21.0,0.0
23,0.93392,0.0,-20.0,0.0
24,0.93094,0.0,-20.0,0.0
25,0.92841,0.0,-21.0,0.0
26,0.92567,0.0,-21.0,0.0
27,0.9231199999999999,0.0,-21.0,0.0
28,0.92056,0.0,-21.0,0.0
29,0.9178,0.0,-20.0,0.0
30,0.91526,0.0,-21.0,0.0
31,0.91272,0.0,-21.0,0.0
32,0.91,0.0,-21.0,0.0
33,0.90727,0.0,-21.0,0.0
34,0.90455,0.0,-21.0,0.0
35,0.90199,0.0,-21.0,0.0
