,Explained variance,KL,Q estimate,Training return,entropy,episode length,max return,mean return,mean value,min return,policy grad norm,policy loss,std return,value grad norm,value loss
0,1.0,3.471970558166504e-05,8.026484489440918,15.0,2.583176851272583,15.0,15.0,15.0,-0.026485176756978035,15.0,50.176599915878576,156.59352111816406,1.0,26.479656995122525,82.9840316772461
1,-0.8903058877058437,-3.069639205932617e-06,2.9830310344696045,5.0,2.570377826690674,5.0,5.0,10.0,0.016968751326203346,5.0,18.472385310856478,25.93429946899414,3.605551275463989,11.208794129796395,10.91286563873291
2,-0.85295263056758,-2.8252601623535156e-05,5.958115100860596,11.0,2.5993218421936035,11.0,11.0,10.333333333333334,0.041884198784828186,11.0,21.5506012269404,91.27906799316406,2.9689753813083084,19.25375085431661,45.51631546020508
3,-0.8568422571591744,-5.990266799926758e-06,3.9235293865203857,7.0,2.615328073501587,7.0,7.0,9.5,0.07647062093019485,7.0,18.51126722800474,25.78376579284668,2.8589527997347406,12.84155702466386,19.46015739440918
4,-0.8672733187852979,-6.258487701416016e-07,3.398482322692871,6.0,2.6171457767486572,6.0,6.0,8.8,0.10151785612106323,6.0,14.443130911921518,22.211912155151367,2.8472598913497325,11.368866823820719,14.533805847167969
5,-0.8819717431943634,4.470348358154297e-07,2.8786873817443848,5.0,2.613633871078491,5.0,5.0,8.166666666666666,0.12131259590387344,5.0,11.83994815012905,16.265302658081055,2.9029359340221474,9.785157033172604,10.302408218383789
6,-0.8679487458488986,5.781650543212891e-06,3.8511428833007812,7.0,2.6106667518615723,7.0,7.0,8.0,0.14885707199573517,7.0,12.219318425165975,30.334375381469727,2.7140434311248125,12.93269370612693,18.845977783203125
7,-0.8744213410284092,1.1801719665527344e-05,2.7615857124328613,5.0,2.566136598587036,5.0,5.0,7.625,0.23841436207294464,5.0,16.0442450439758,16.473163604736328,2.7030734179407294,10.667139579268577,9.801347732543945
8,-0.8884037899967945,7.331371307373047e-06,2.15274977684021,4.0,2.558915138244629,4.0,4.0,7.222222222222222,0.34725022315979004,4.0,22.73099390506006,15.677753448486328,2.7655733436427274,9.261951045739167,6.185896396636963
9,-0.8961959839647691,-1.9371509552001953e-06,2.1978096961975098,4.0,2.644676446914673,4.0,4.0,6.9,0.3021901845932007,4.0,20.833888487057127,16.214088439941406,2.779308605959492,8.348983067726943,6.297888278961182
10,-0.8931820446704303,-7.748603820800781e-07,2.736934185028076,5.0,2.6170079708099365,5.0,5.0,6.7272727272727275,0.26306599378585815,5.0,11.448438992199351,15.458227157592773,2.700657063921248,9.535933642564332,9.595284461975098
11,-0.8801974629849922,-2.5331974029541016e-06,3.7059879302978516,7.0,2.6129422187805176,7.0,7.0,6.75,0.2940123677253723,7.0,13.741575190504319,37.334720611572266,2.5866892344266557,13.064908974038547,17.896047592163086
12,-0.8672513008052369,-1.8775463104248047e-06,3.604243755340576,7.0,2.578113555908203,7.0,7.0,6.769230769230769,0.3957562744617462,7.0,15.359674506980104,33.46605682373047,2.486034667495375,13.316225155645721,17.508676528930664
13,-0.8663231219449191,1.0132789611816406e-06,2.5766549110412598,5.0,2.567761182785034,5.0,5.0,6.642857142857143,0.4233451783657074,5.0,12.795853003472796,17.03423500061035,2.4355076967894873,10.913434529598435,8.807979583740234
14,-0.8967499788785978,-2.0205974578857422e-05,7.591911792755127,15.0,2.5820159912109375,15.0,15.0,7.2,0.40808746218681335,15.0,43.79997098751484,153.3075408935547,3.0971359713525835,28.681941660518476,76.87669372558594
15,-0.8884759643215211,-1.0520219802856445e-05,4.0189948081970215,8.0,2.5765750408172607,8.0,8.0,7.25,0.4810054898262024,8.0,19.152098348341593,44.510074615478516,3.004645032858412,16.21170833389283,21.828542709350586
16,-0.8825690898905906,-3.337860107421875e-06,3.5863707065582275,7.0,2.610056161880493,7.0,7.0,7.235294117647059,0.4136292338371277,7.0,11.545423997517744,32.21070861816406,2.915492408188598,14.066803102951987,16.875459671020508
17,-0.8806974288657966,3.8743019104003906e-07,3.0683374404907227,6.0,2.613358497619629,6.0,6.0,7.166666666666667,0.43166252970695496,6.0,11.118558627158324,21.477481842041016,2.8466622053887964,12.459484797001338,12.345832824707031
18,-0.8788449885549201,1.6987323760986328e-06,2.998706817626953,6.0,2.6160542964935303,6.0,6.0,7.105263157894737,0.5012931227684021,6.0,11.851287877272506,21.504270553588867,2.782315860997449,12.108440991675455,12.097184181213379
19,-0.8825024135308119,3.3974647521972656e-06,2.465620994567871,5.0,2.621934175491333,5.0,5.0,7.0,0.5343788862228394,5.0,12.580979211549083,13.751604080200195,2.748493673421876,10.493212070169987,8.258367538452148
20,-0.8858622960555375,4.947185516357422e-06,2.419168472290039,5.0,2.624708414077759,5.0,5.0,6.904761904761905,0.5808314085006714,5.0,13.201449209430898,15.48902416229248,2.714269763855936,11.099968930049654,7.973989009857178
21,-0.8769418469644639,6.020069122314453e-06,3.808140277862549,8.0,2.572155475616455,8.0,8.0,6.954545454545454,0.6918599009513855,8.0,18.597247868873563,29.337125778198242,2.6612150555137344,17.0265085761866,20.487173080444336
22,-0.8715683542821672,-2.205371856689453e-06,5.7228522300720215,12.0,2.586077928543091,12.0,12.0,7.173913043478261,0.7771477103233337,12.0,47.37266372839376,105.66029357910156,2.7904850590436516,26.11908189822937,46.21479415893555
23,-0.871530854687448,-6.765127182006836e-06,2.5739476680755615,6.0,2.576323986053467,6.0,6.0,7.125,0.9260520935058594,6.0,18.168416388716246,29.640626907348633,2.741366621543856,11.564956503937085,10.871541023254395
