,Explained variance,KL,Q estimate,Training return,entropy,episode length,max return,mean return,mean value,min return,policy grad norm,policy loss,std return,value grad norm,value loss
0,1.0,-9.924173355102539e-06,-70.11296844482422,-91.40312968176995,106.22547149658203,77.0,0.0,-91.40312968176995,0.19575166702270508,-91.40312968176995,622.345011829998,-7457.7705078125,1.0,206.50763751785442,5024.35205078125
1,-0.9976141165273732,1.1086463928222656e-05,-138.3148651123047,-169.4258787167185,84.26321411132812,61.0,0.0,-130.41450419924422,0.16433009505271912,-169.4258787167185,1458.8147914633093,-11690.55078125,27.594268804795696,398.2349620932043,19588.302734375
2,-0.9997592456018431,-1.5615485608577728e-05,-231.13858032226562,-346.228700925166,117.4415283203125,85.0,0.0,-202.35256977455148,0.15351159870624542,-346.228700925166,2169.7615436849455,-26917.716796875,86.06824512484548,737.4762047258251,58715.28125
3,-0.9997850545253545,9.139999747276306e-06,-131.6127471923828,-161.19452100497682,129.6178436279297,94.0,0.0,-192.0630575821578,0.15808287262916565,-161.19452100497682,1082.8857878725812,-17196.31640625,76.1184849544252,385.8779879650527,17611.66796875
4,-0.9997825135519417,-2.9802322387695312e-06,-104.59178161621094,-160.8365790696563,113.17303466796875,82.0,0.0,-185.8177618796575,0.14758753776550293,-160.8365790696563,1514.0485689579566,-11910.580078125,68.99297718118116,289.77737915132536,11877.23046875
5,-0.999705333119123,1.1801719665527344e-05,-200.591796875,-278.39750835140313,125.73444366455078,91.0,0.0,-201.24771962494845,0.12045252323150635,-278.39750835140313,1820.2151257371258,-24939.69140625,70.41809000788494,603.7689938328211,43756.32421875
6,-0.9996040803439337,2.232380211353302e-06,-215.8045196533203,-302.24338732769013,125.73665618896484,91.0,0.0,-215.67567215391156,0.10043620318174362,-302.24338732769013,2451.2985316891645,-27010.53515625,72.94441495565546,636.5335613643283,50705.95703125
7,-0.9997715105218977,8.851289749145508e-06,-100.77210998535156,-133.67684531310212,125.72576141357422,91.0,0.0,-205.42581879881038,0.10901165008544922,-133.67684531310212,896.9814285442021,-12731.1767578125,72.7960583658319,279.5900643063333,10541.4990234375
8,-0.9998961166279859,8.439645171165466e-06,-107.83655548095703,-128.09002879138217,146.23033142089844,106.0,0.0,-196.83295324242945,0.10301357507705688,-128.09002879138217,626.2652095183025,-15847.2041015625,72.3569228592194,310.0262102005461,11760.064453125
9,-0.9996985027592654,-5.359761416912079e-07,-237.0595703125,-325.7296389028899,102.2278060913086,74.0,0.0,-209.7226218084755,0.04466301575303078,-325.7296389028899,4340.264181830175,-23621.96484375,77.83145031800383,709.7913381549181,60887.2421875
10,-0.9996113271472512,-1.9917264580726624e-05,-213.46580505371094,-276.19996586480966,140.5545654296875,102.0,0.0,-215.7660167226877,0.0847608894109726,-276.19996586480966,4896.080770964968,-30086.705078125,76.41371176036142,679.7146209601442,47784.44921875
11,-0.9998272717745421,-6.731599569320679e-06,-90.57083129882812,-111.92191299880386,85.6405029296875,62.0,0.0,-207.11234141236403,0.0574011392891407,-111.92191299880386,785.9968778071984,-7710.56787109375,78.15093647152108,261.7883126630503,8294.029296875
