,Explained variance,KL,Q estimate,Training return,entropy,episode length,max return,mean return,mean value,min return,policy grad norm,policy loss,std return,value grad norm,value loss
0,1.0,-4.32133674621582e-06,-58.76410675048828,-70.73529654954353,114.52940368652344,83.0,0.0,-70.73529654954353,0.06398876756429672,-70.73529654954353,274.5785890294721,-6753.619140625,1.0,138.92043792727804,3611.89013671875
1,-0.5869006319719722,-8.139642886817455e-06,-61.19937515258789,-75.76520047691773,177.88070678710938,129.0,0.0,-73.25024851323063,0.05876784399151802,-75.76520047691773,744.7528576597632,-10901.5869140625,1.9137637497420603,145.55903464840526,3915.4501953125
2,-0.9984350212642169,-4.8568472266197205e-06,-120.79170227050781,-156.96177751757935,144.8486785888672,105.0,0.0,-101.1540915146802,0.04048194736242294,-156.96177751757935,790.3850831081834,-17378.296875,32.25845005771273,283.7607940489878,15156.7705078125
3,-0.9985162954858222,1.946091651916504e-05,-95.01893615722656,-81.93547887767096,128.35821533203125,93.0,0.0,-96.34943835542789,0.03743347153067589,-81.93547887767096,2003.0922976120205,-11973.7900390625,28.85127825679591,221.914400688785,9101.9150390625
4,-0.9990595758494399,-6.619095802307129e-05,-45.149993896484375,-37.62652763049101,173.8424530029297,126.0,0.0,-84.60485621044052,0.03436277061700821,-37.62652763049101,551.6008856379582,-7802.27783203125,33.27626296437134,105.86747596156641,2391.826904296875
5,-0.9998261441747607,-1.1073192581534386e-05,-314.9884033203125,-421.3045227582339,128.39923095703125,93.0,0.0,-140.7214673017394,0.012215552851557732,-421.3045227582339,5777.584106504807,-40005.4453125,118.50696139444875,734.9521783633505,108862.109375
6,-0.9998037745347382,-1.0848045349121094e-05,-153.15478515625,-184.14190353624417,110.354248046875,80.0,0.0,-146.92438676381153,0.028824035078287125,-184.14190353624417,997.3622787725426,-16824.291015625,110.61422212122021,392.4707117099901,23984.884765625
7,-0.9997993410060348,-1.196097582578659e-05,-93.12650299072266,-132.62262753467633,115.97520446777344,84.0,0.0,-145.1366668601696,0.013603941537439823,-132.62262753467633,801.1432685005525,-10914.759765625,103.56468035038446,220.21037974313694,9111.3837890625
8,-0.9998525357545733,2.1070241928100586e-05,-43.355491638183594,-47.70973175196242,104.94351196289062,76.0,0.0,-134.3114518481466,0.011478446424007416,-47.70973175196242,420.2319855638319,-4603.2705078125,101.81955828939978,103.03014962991166,2173.268310546875
9,-0.9998269466022568,1.5974044799804688e-05,-369.6242370605469,-459.0982383358938,128.38946533203125,93.0,0.0,-166.7901304969213,0.021047502756118774,-459.0982383358938,4477.015768031005,-47874.234375,133.69705754452366,941.9697747672916,143824.71875
10,-0.9998525864121546,-5.662441253662109e-07,-96.72565460205078,-104.79477165669249,110.52041625976562,80.0,0.0,-161.15418878417324,2.9407674446702003e-06,-104.79477165669249,1163.4101399597134,-10841.869140625,128.60277667707365,228.79955792741018,9403.611328125
11,-0.9998299560462012,3.895256668329239e-05,-161.02264404296875,-216.7427568347918,142.27639770507812,103.0,0.0,-165.78656945505813,-0.02218315750360489,-216.7427568347918,2590.443177728296,-22781.73828125,124.00334299655816,376.99681782074,27196.2578125
